id,n_images,explicit_mention,matched_terms,options_reference_figure,n_options_ref
MM-0,2,True,figure;radiograph;shown,False,0
MM-1,2,False,,False,0
MM-2,1,True,figure;shown,False,0
MM-3,1,True,figure;image,False,0
MM-4,1,True,arrow,False,0
MM-5,1,True,figure;radiograph,False,0
MM-6,1,True,figure;image;radiograph,False,0
MM-7,6,True,figure;imaging;radiograph;shown,True,5
MM-8,1,True,image;shown,False,0
MM-9,1,False,,False,0
MM-10,1,True,image,False,0
MM-11,5,True,figure;image;radiograph,True,5
MM-12,1,True,the following,False,0
MM-13,2,True,figure;radiograph;the following,False,0
MM-14,1,False,,False,0
MM-15,1,True,figure;illustrated,False,0
MM-16,1,False,,False,0
MM-17,1,False,,False,0
MM-18,5,True,figure;the following,True,5
MM-19,1,False,,False,0
MM-20,1,True,the following,False,0
MM-21,1,False,,False,0
MM-22,1,True,graph;the following,False,0
MM-23,1,True,figure;imaging;shown,False,0
MM-24,1,True,figure;radiograph;shown,False,0
MM-25,5,False,,False,0
MM-26,1,False,,False,0
MM-27,1,True,depicted;image,False,0
MM-28,1,True,figure;shown;the following,False,0
MM-29,1,False,,False,0
MM-30,1,True,image;imaging;shown,False,0
MM-31,1,False,,False,0
MM-32,1,True,shown,False,0
MM-33,1,True,figure;image;imaging;scan;shown,False,0
MM-34,3,True,image;imaging;shown,False,0
MM-35,2,True,figure;radiograph;shown,False,0
MM-36,1,True,figure;radiograph,False,0
MM-37,1,True,image;shown,False,0
MM-38,1,True,arrow;micrograph,False,0
MM-39,1,True,figure;radiograph;the following,False,0
MM-40,1,False,,False,0
MM-41,1,False,,False,0
MM-42,2,True,figure;radiograph;scan;shown,False,0
MM-43,3,True,arrow;figure;image;the following,False,0
MM-44,5,True,figure;image;radiograph,True,5
MM-45,1,False,,False,0
MM-46,1,True,image,True,1
MM-47,1,False,,False,0
MM-48,1,False,,False,0
MM-49,1,False,,False,0
MM-50,1,True,the following,False,0
MM-51,1,True,image,False,0
MM-52,2,True,figure;shown,False,0
MM-53,1,False,,False,0
MM-54,1,True,figure;shown,False,0
MM-55,1,True,image,False,0
MM-56,1,True,shown;the following,False,0
MM-57,1,True,radiograph,False,0
MM-58,1,True,figure;radiograph;the following,False,0
MM-59,1,True,figure;shown,False,0
MM-60,1,True,figure,False,0
MM-61,1,False,,False,0
MM-62,1,True,figure,False,0
MM-63,1,False,,False,0
MM-64,1,True,figure,False,0
